,Unnamed: 0,Date,hour,weekofday,day,month,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude
0,2213,01/13/2001 08:33:47 PM,20,5,13,1,024XX S KILDARE AV,1020,ARSON,BY FIRE,DRIVEWAY - RESIDENTIAL,False,False,1013,10.0,,,,,2001,08/17/2015 03:03:40 PM,,
1,3387,09/04/2002 11:45:44 PM,23,2,4,9,129XX S EGGLESTON AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,523,5.0,9.0,53.0,,,2002,08/17/2015 03:03:40 PM,,
2,3874,11/03/2002 02:44:00 AM,2,6,3,11,024XX E 73RD ST,1090,ARSON,ATTEMPT ARSON,APARTMENT,False,True,334,3.0,7.0,43.0,,,2002,08/17/2015 03:03:40 PM,,
3,7176,03/09/2002 01:05:39 AM,1,5,9,3,003XX W 109 PL,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,513,5.0,,,,,2002,02/04/2016 06:33:39 AM,,
4,7181,03/10/2002 10:45:00 AM,10,6,10,3,051XX S KING DR,1025,ARSON,AGGRAVATED,APARTMENT,False,False,234,2.0,,,,,2002,02/04/2016 06:33:39 AM,,
5,7964,01/24/2014 03:45:00 PM,15,4,24,1,007XX N SPAULDING AVE,1090,ARSON,ATTEMPT ARSON,STREET,False,False,1121,11.0,27.0,23.0,,,2014,01/26/2016 04:01:19 PM,,
6,10107,10/27/2002 01:19:00 AM,1,6,27,10,028XX W ROSEMONT AVE,1090,ARSON,ATTEMPT ARSON,RESIDENCE PORCH/HALLWAY,False,False,2413,24.0,50.0,2.0,,,2002,08/17/2015 03:03:40 PM,,
7,10277,11/16/2002 01:00:00 AM,1,5,16,11,039XX W WELLINGTON AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,2523,25.0,31.0,21.0,,,2002,08/17/2015 03:03:40 PM,,
8,10427,11/03/2002 09:45:00 PM,21,6,3,11,051XX S LAFLIN ST,1090,ARSON,ATTEMPT ARSON,RESIDENCE,False,False,932,9.0,16.0,61.0,,,2002,08/17/2015 03:03:40 PM,,
9,10777,01/24/2004 12:50:00 AM,0,5,24,1,102XX S MANISTEE AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,431,4.0,10.0,51.0,,,2004,08/17/2015 03:03:40 PM,,
10,11721,07/23/2005 05:39:00 AM,5,5,23,7,066XX S PARNELL AVE,1090,ARSON,ATTEMPT ARSON,RESIDENCE,True,False,722,7.0,6.0,68.0,,,2005,08/17/2015 03:03:40 PM,,
11,11895,08/11/2002 07:10:00 PM,19,6,11,8,037XX N PAULINA ST,1025,ARSON,AGGRAVATED,RESIDENCE,True,False,1923,19.0,47.0,6.0,,,2002,08/17/2015 03:03:40 PM,,
12,12250,12/28/2007 12:08:00 AM,0,4,28,12,021XX N BINGHAM ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1431,14.0,1.0,22.0,,,2007,08/17/2015 03:03:40 PM,,
13,14097,08/13/2009 03:15:00 AM,3,3,13,8,012XX W 107TH PL,1090,ARSON,ATTEMPT ARSON,RESIDENCE PORCH/HALLWAY,False,False,2234,22.0,34.0,75.0,,,2009,08/17/2015 03:03:40 PM,,
14,14565,10/10/2009 05:55:00 PM,17,5,10,10,108XX S CHURCH ST,1020,ARSON,BY FIRE,RESIDENCE-GARAGE,False,False,2212,22.0,19.0,75.0,,,2009,08/17/2015 03:03:40 PM,,
15,19153,08/15/2001 12:07:01 AM,0,2,15,8,041XX W 24 ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1013,10.0,,,,,2001,08/17/2015 03:03:40 PM,,
16,19314,01/31/2002 12:00:00 AM,0,3,31,1,012XX W GREENLEAF AV,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,2423,24.0,,,,,2002,08/17/2015 03:03:40 PM,,
17,19517,08/30/2016 09:45:00 PM,21,1,30,8,046XX W 53RD ST,1020,ARSON,BY FIRE,WAREHOUSE,False,False,815,8.0,23.0,56.0,,,2016,09/06/2016 03:55:40 PM,,
18,19846,04/21/2001 05:40:08 PM,17,5,21,4,010XX W FULTON ST,1020,ARSON,BY FIRE,STREET,True,False,1212,12.0,,,,,2001,08/17/2015 03:03:40 PM,,
19,20688,08/03/2002 08:49:35 AM,8,5,3,8,042XX N KILPATRICK AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1722,17.0,45.0,15.0,,,2002,08/17/2015 03:03:40 PM,,
20,20961,08/24/2002 03:02:32 AM,3,5,24,8,017XX W 50TH ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,931,9.0,16.0,61.0,,,2002,08/17/2015 03:03:40 PM,,
21,21532,09/29/2002 01:57:10 AM,1,6,29,9,037XX W IOWA ST,1020,ARSON,BY FIRE,VACANT LOT/LAND,False,False,1112,11.0,27.0,23.0,,,2002,08/17/2015 03:03:40 PM,,
22,21887,10/18/2002 08:59:00 PM,20,4,18,10,049XX S HALSTED ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,935,9.0,3.0,61.0,,,2002,08/17/2015 03:03:40 PM,,
23,21973,10/22/2002 08:42:39 PM,20,1,22,10,045XX N ASHLAND AVE,1020,ARSON,BY FIRE,VACANT LOT/LAND,True,False,1922,19.0,47.0,3.0,,,2002,08/17/2015 03:03:40 PM,,
24,22091,10/27/2002 01:30:00 PM,13,6,27,10,039XX N CENTRAL AVE,1090,ARSON,ATTEMPT ARSON,RESIDENCE PORCH/HALLWAY,False,False,1633,16.0,38.0,15.0,,,2002,08/17/2015 03:03:40 PM,,
25,22128,11/13/2002 02:00:00 AM,2,2,13,11,033XX W DIVISION ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1422,14.0,26.0,23.0,,,2002,08/17/2015 03:03:40 PM,,
26,22296,04/10/2002 11:39:36 PM,23,2,10,4,014XX W NORTH SHORE AV,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,2432,24.0,,,,,2002,08/17/2015 03:03:40 PM,,
27,22372,11/10/2002 01:10:00 AM,1,6,10,11,042XX W MONROE ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1115,11.0,28.0,26.0,,,2002,08/17/2015 03:03:40 PM,,
28,22400,11/13/2002 07:47:14 PM,19,2,13,11,017XX W AUGUSTA BLVD,1025,ARSON,AGGRAVATED,APARTMENT,False,False,1322,12.0,1.0,24.0,,,2002,08/17/2015 03:03:40 PM,,
29,22531,11/19/2002 10:36:12 PM,22,1,19,11,045XX N CLARK ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,2311,19.0,47.0,3.0,,,2002,08/17/2015 03:03:40 PM,,
30,23093,07/31/2001 02:45:00 AM,2,1,31,7,059XX S KNOX AV,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,813,8.0,,,,,2001,08/17/2015 03:03:40 PM,,
31,23500,02/18/2002 06:15:00 PM,18,0,18,2,067XX S HAMILTON AV,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,726,7.0,,,,,2002,08/17/2015 03:03:40 PM,,
32,23524,02/24/2002 08:58:45 PM,20,6,24,2,009XX S CENTRAL AV,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1522,15.0,,,,,2002,08/17/2015 03:03:40 PM,,
